,OrderID,ProductID,UnitPrice_x,Quantity,Discount,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice_y,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued
0,10248,11,14.0,12,0,VINET,5,1996-07-04 00:00:00,1996-08-01 00:00:00,1996-07-16 00:00:00,3,32.38,Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,,51100,France,Queso Cabrales,5,4,1 kg pkg.,21.0,22,30,30,0
1,10248,42,9.8,10,0,VINET,5,1996-07-04 00:00:00,1996-08-01 00:00:00,1996-07-16 00:00:00,3,32.38,Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,,51100,France,Singaporean Hokkien Fried Mee,20,5,32 - 1 kg pkgs.,14.0,26,0,0,1
2,10248,72,34.8,5,0,VINET,5,1996-07-04 00:00:00,1996-08-01 00:00:00,1996-07-16 00:00:00,3,32.38,Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,,51100,France,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,14,0,0,0
3,10249,14,18.6,9,0,TOMSP,6,1996-07-05 00:00:00,1996-08-16 00:00:00,1996-07-10 00:00:00,1,11.61,Toms Spezialitten,Luisenstr. 48,Mnster,,44087,Germany,Tofu,6,7,40 - 100 g pkgs.,23.25,35,0,0,0
4,10249,51,42.4,40,0,TOMSP,6,1996-07-05 00:00:00,1996-08-16 00:00:00,1996-07-10 00:00:00,1,11.61,Toms Spezialitten,Luisenstr. 48,Mnster,,44087,Germany,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53.0,20,0,10,0
5,10250,41,7.7,10,0,HANAR,4,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-12 00:00:00,2,65.83,Hanari Carnes,"Rua do Pao, 67",Rio de Janeiro,RJ,05454-876,Brazil,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,85,0,10,0
6,10250,51,42.4,35,0,HANAR,4,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-12 00:00:00,2,65.83,Hanari Carnes,"Rua do Pao, 67",Rio de Janeiro,RJ,05454-876,Brazil,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53.0,20,0,10,0
7,10250,65,16.8,15,0,HANAR,4,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-12 00:00:00,2,65.83,Hanari Carnes,"Rua do Pao, 67",Rio de Janeiro,RJ,05454-876,Brazil,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,76,0,0,0
8,10251,22,16.8,6,0,VICTE,3,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-15 00:00:00,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,Gustaf's Knckebrd,9,5,24 - 500 g pkgs.,21.0,104,0,25,0
9,10251,57,15.6,15,0,VICTE,3,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-15 00:00:00,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,36,0,20,0
10,10251,65,16.8,20,0,VICTE,3,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-15 00:00:00,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,76,0,0,0
11,10252,20,64.8,40,0,SUPRD,4,1996-07-09 00:00:00,1996-08-06 00:00:00,1996-07-11 00:00:00,2,51.3,Suprmes dlices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,Sir Rodney's Marmalade,8,3,30 gift boxes,81.0,40,0,0,0
